epoch,train_loss,train_acc,test_loss,test_acc
1,4.00716139,0.0823,3.692526582,0.1303
2,3.457963261,0.16458,3.310830422,0.206100002
3,3.0602479,0.23294,2.965699367,0.262899995
4,2.761414024,0.2925,2.639447885,0.328700006
5,2.507215653,0.34494,2.502984701,0.364199996
6,2.330946151,0.38176,2.28491013,0.407299995
7,2.185113115,0.4153,2.075597242,0.447299987
8,2.076876453,0.44028,1.969966208,0.47240001
9,1.967567745,0.46552,2.095746591,0.45629999
10,1.885766319,0.48466,2.032928468,0.476900011
11,1.831522527,0.4974,1.752652077,0.522899985
12,1.775651497,0.51158,2.113940665,0.466300011
13,1.728777177,0.52146,1.892190851,0.502499998
14,1.692315928,0.529,2.024197073,0.48300001
15,1.665572657,0.53836,1.86576566,0.512300014
16,1.630855692,0.54566,1.627339614,0.555100024
17,1.612672839,0.55242,1.690532929,0.552999973
18,1.58872567,0.55528,1.798323338,0.523000002
19,1.564268031,0.56368,1.596256933,0.557500005
20,1.549547965,0.56774,1.837143669,0.527100027
21,1.533870369,0.5713,1.590824858,0.572099984
22,1.520078662,0.57426,1.759557739,0.5449
23,1.510693937,0.57836,1.618836071,0.57069999
24,1.494840018,0.5794,1.581646632,0.568499982
25,1.491978703,0.5834,1.826891158,0.526600003
26,1.475119786,0.58604,1.592222714,0.572099984
27,1.46546561,0.59106,1.524058024,0.586899996
28,1.461832,0.58852,1.580313473,0.573300004
29,1.45597026,0.59158,1.581780009,0.575999975
30,1.442798342,0.5957,1.728566839,0.556200027
31,1.434909252,0.59688,1.577563769,0.581799984
32,1.440311692,0.59582,1.466826789,0.595799983
33,1.43037103,0.59868,1.58661706,0.581399977
34,1.43195461,0.5966,1.797839718,0.534399986
35,1.42447981,0.60114,1.691524918,0.556100011
36,1.413189855,0.60216,1.624827049,0.569500029
37,1.405974376,0.6048,1.764988435,0.548600018
38,1.403777737,0.60542,1.592470903,0.577199996
39,1.39699201,0.6051,1.500438739,0.591099977
40,1.390715896,0.60942,1.608160684,0.573000014
41,0.991988914,0.71414,1.056855279,0.702799976
42,0.876279272,0.74274,1.065400991,0.700100005
43,0.847176303,0.7495,1.078745426,0.702199996
44,0.837463943,0.75376,1.110583548,0.698400021
45,0.828151024,0.75554,1.157763877,0.689700007
46,0.817727826,0.755,1.174624442,0.679400027
47,0.819737174,0.75498,1.178268857,0.684000015
48,0.813204971,0.75902,1.157921226,0.685599983
49,0.812708908,0.75726,1.149090328,0.691399992
50,0.809657916,0.7588,1.212299195,0.680599988
51,0.818298008,0.7569,1.186268266,0.689499974
52,0.804782868,0.76034,1.272767204,0.669499993
53,0.795038559,0.7646,1.272547345,0.66839999
54,0.793468001,0.76394,1.240358139,0.672900021
55,0.786575162,0.76464,1.281227007,0.667100012
56,0.783308841,0.7648,1.253904865,0.665400028
57,0.77753333,0.76634,1.247420939,0.679099977
58,0.780137228,0.7685,1.27391142,0.670799971
59,0.764606292,0.7735,1.346430698,0.656899989
60,0.765395039,0.77206,1.39320869,0.65170002
61,0.761143998,0.77192,1.314257043,0.66079998
62,0.754271813,0.77596,1.188298747,0.693199992
63,0.745278486,0.7754,1.214800919,0.681100011
64,0.747623591,0.77774,1.243897053,0.679199994
65,0.73360812,0.78084,1.206180414,0.686100006
66,0.723178436,0.7814,1.272883455,0.674099982
67,0.725219038,0.78334,1.310154035,0.665300012
68,0.712762093,0.78736,1.248376386,0.676999986
69,0.716769958,0.78308,1.323910362,0.67049998
70,0.706087195,0.78558,1.248657221,0.681200027
71,0.711681997,0.78816,1.214844231,0.689899981
72,0.702519759,0.79024,1.276376484,0.672999978
73,0.701874042,0.7904,1.239317189,0.684499979
74,0.696596427,0.79132,1.332769832,0.671199977
75,0.693672506,0.79238,1.20448783,0.691299975
76,0.687809323,0.7916,1.336849538,0.66960001
77,0.687054825,0.79436,1.167561944,0.703000009
78,0.678373248,0.7963,1.277620734,0.672800004
79,0.674747881,0.79618,1.281242806,0.677200019
80,0.679597579,0.79672,1.23466061,0.68779999
81,0.410970711,0.88,0.927368438,0.75910002
82,0.322045658,0.9079,0.920406183,0.758899987
83,0.286463709,0.91818,0.94841006,0.756299973
84,0.268344032,0.92368,0.946023687,0.758599997
85,0.250710856,0.92954,0.959070535,0.758899987
86,0.240593988,0.9324,0.943176873,0.761099994
87,0.230196512,0.936,0.973635545,0.757000029
88,0.226635183,0.93642,0.980980167,0.758099973
89,0.22216336,0.93678,0.98304087,0.755500019
90,0.217179647,0.93842,1.009663686,0.754100025
91,0.21322554,0.94134,1.001415193,0.754100025
92,0.210953265,0.94132,0.999882979,0.754100025
93,0.2049508,0.94256,1.004222865,0.749899983
94,0.207344565,0.94194,1.032328137,0.748399973
95,0.215880774,0.93874,1.040450192,0.748199999
96,0.211256397,0.93982,1.05045259,0.747200012
97,0.213361355,0.939,1.049763848,0.746999979
98,0.212871743,0.93882,1.054616373,0.744599998
99,0.215665198,0.93776,1.049818046,0.741900027
100,0.209557559,0.94132,1.057809885,0.740400016
101,0.217521696,0.93814,1.068091575,0.743600011
102,0.221228605,0.93746,1.119024278,0.732200027
103,0.219268714,0.93752,1.07818425,0.739199996
104,0.226274214,0.93558,1.108985861,0.737600029
105,0.231166079,0.93446,1.084704004,0.741100013
106,0.222374176,0.937,1.104469654,0.733500004
107,0.239183041,0.93202,1.09736884,0.738600016
108,0.230304041,0.93472,1.101949108,0.729399979
109,0.232884508,0.93286,1.086573389,0.734600008
110,0.236977008,0.93002,1.101665006,0.737999976
111,0.24148143,0.93038,1.138205958,0.733299971
112,0.238230291,0.93172,1.107863818,0.735300004
113,0.239324378,0.93024,1.126522193,0.727500021
114,0.246235772,0.92834,1.157457818,0.726899981
115,0.238591472,0.93072,1.135363868,0.729600012
116,0.247821957,0.92866,1.141554806,0.73210001
117,0.245175747,0.93046,1.142286798,0.729700029
118,0.245216695,0.9309,1.173033619,0.726300001
119,0.245953629,0.9284,1.172061047,0.720600009
120,0.246409938,0.92782,1.176940496,0.718900025
121,0.151828007,0.95842,0.986805258,0.760100007
122,0.114851336,0.97082,0.963484491,0.761300027
123,0.106738526,0.97282,0.962150394,0.763100028
124,0.095298148,0.97648,0.948021864,0.768599987
125,0.09396605,0.97722,0.947801886,0.769299984
126,0.086082543,0.97926,0.963028825,0.763100028
127,0.084016586,0.98008,0.954796803,0.765299976
128,0.082395497,0.98008,0.956905069,0.762499988
129,0.079242909,0.9813,0.960859903,0.76700002
130,0.075457931,0.98252,0.956818016,0.765299976
131,0.074436336,0.98288,0.957697501,0.760699987
132,0.077032172,0.98182,0.966234622,0.763000011
133,0.070053781,0.98494,0.954507962,0.767799973
134,0.072235588,0.98302,0.953607339,0.766300023
135,0.069832863,0.98376,0.95807533,0.763999999
136,0.066139541,0.98492,0.952406942,0.767499983
137,0.067111648,0.98526,0.954566561,0.766600013
138,0.066454882,0.98514,0.953659546,0.767799973
139,0.065934496,0.98496,0.961241384,0.767199993
140,0.065471983,0.98516,0.951222242,0.767799973
141,0.063876808,0.9857,0.954957085,0.766200006
142,0.063979275,0.98534,0.951799432,0.769500017
143,0.064324198,0.9859,0.954944631,0.767099977
144,0.063060714,0.9861,0.943911955,0.76700002
145,0.063043074,0.9863,0.958896411,0.764400005
146,0.059755773,0.98696,0.954875932,0.765399992
147,0.062824708,0.986,0.951354623,0.76880002
148,0.057545372,0.98778,0.942900378,0.766099989
149,0.059334889,0.98742,0.960986144,0.763800025
150,0.059518871,0.98756,0.951293142,0.766799986
151,0.060998342,0.98672,0.95061271,0.765999973
152,0.057314479,0.98816,0.947768577,0.7676
153,0.057670411,0.9877,0.947487371,0.764900029
154,0.060139198,0.98706,0.95426124,0.765500009
155,0.060077791,0.98738,0.959511733,0.762600005
156,0.062221108,0.98662,0.950802967,0.765200019
157,0.060439662,0.98696,0.954465135,0.767199993
158,0.058814668,0.98734,0.945833649,0.763599992
159,0.058607719,0.98758,0.938938259,0.766799986
160,0.057877384,0.98748,0.957859778,0.765200019
161,0.051894175,0.9892,0.920700422,0.770200014
162,0.043732058,0.99148,0.917455552,0.769699991
163,0.042388139,0.99188,0.915884519,0.771899998
164,0.040269376,0.99286,0.909347906,0.772599995
165,0.040541016,0.9919,0.91318487,0.775099993
166,0.039729318,0.99258,0.915429327,0.771099985
167,0.039614432,0.99292,0.914770735,0.771000028
168,0.040534857,0.99226,0.910559316,0.773599982
169,0.038682558,0.99268,0.910594006,0.772000015
170,0.038944396,0.99266,0.90960807,0.773999989
171,0.037517287,0.99326,0.90992899,0.775399983
172,0.03651827,0.99308,0.911948119,0.772499979
173,0.036006606,0.99312,0.912521278,0.773899972
174,0.037786247,0.99294,0.912347629,0.774800003
175,0.036698445,0.9931,0.915546653,0.773299992
