epoch,train_loss,train_acc,test_loss,test_acc
1,4.09225045,0.082477249,3.586803638,0.144400001
2,3.556552114,0.168480426,3.199887789,0.222299993
3,3.13345732,0.254747838,2.808121531,0.306199998
4,2.813235633,0.323482484,2.278724484,0.405299991
5,2.557231499,0.383205593,2.228500297,0.419400007
6,2.395690187,0.422420382,1.923632535,0.489199996
7,2.24439396,0.460585862,2.008147897,0.477999985
8,2.171239219,0.480671287,1.801909052,0.519599974
9,2.111349721,0.497358471,1.806256039,0.518000007
10,2.171446859,0.493357062,1.701082949,0.54549998
11,1.989646455,0.525257051,1.816943852,0.520200014
12,1.978970993,0.531890213,1.882449213,0.508400023
13,1.956075386,0.538619041,1.635245355,0.558099985
14,1.916052091,0.548636496,1.901643446,0.513199985
15,1.939242361,0.547621071,1.583588777,0.575299978
16,1.950862363,0.546655893,1.629675205,0.567499995
17,1.923084553,0.549524784,1.904618746,0.527700007
18,1.866503903,0.563398957,1.844216874,0.515100002
19,1.935944649,0.554165363,1.545623361,0.581900001
20,1.842724213,0.572053194,1.560500417,0.58829999
21,1.880688622,0.567858577,1.589285245,0.581499994
22,1.846079872,0.57529515,2.003618477,0.503899992
23,1.812211146,0.577717304,1.75015459,0.545700014
24,1.831569214,0.578355432,1.58597624,0.57130003
25,1.768501783,0.589886248,1.65494528,0.566100001
26,1.791487675,0.583923042,1.41125955,0.611400008
27,1.804452767,0.582378805,1.543549399,0.583999991
28,1.769966566,0.591777682,1.639835864,0.567300022
29,1.791511033,0.586522341,1.520940845,0.597199976
30,1.803998466,0.585019946,1.598113726,0.576499999
31,1.788803001,0.581318974,1.630959078,0.582400024
32,1.717430425,0.593190253,1.81201599,0.538200021
33,1.734893471,0.589580536,1.51831226,0.591899991
34,1.693299397,0.602079749,1.566878042,0.581799984
35,1.716044376,0.593581676,1.614857353,0.578199983
36,1.666463713,0.604097605,1.563376333,0.585300028
37,1.655822716,0.605254829,1.657551574,0.56370002
38,1.7294581,0.595000207,1.471355,0.612500012
39,1.708895368,0.599057436,1.587344581,0.586099982
40,1.689214684,0.606326342,1.397283262,0.618099988
41,1.355473589,0.698296249,1.073989969,0.713100016
42,1.237761206,0.733688891,1.041858563,0.713699996
43,1.198522874,0.744139612,1.069185791,0.726700008
44,1.214264255,0.744660795,1.114500194,0.696399987
45,1.225674519,0.745012581,1.107179292,0.711000025
46,1.164705401,0.751770079,1.148724632,0.6954
47,1.178410502,0.750951588,1.125157546,0.702099979
48,1.240880266,0.739731014,1.175417915,0.692600012
49,1.160792211,0.752077281,1.14678457,0.701600015
50,1.193185715,0.744769454,1.195632838,0.692499995
51,1.189887081,0.747266173,1.183614727,0.691900015
52,1.223481957,0.742619514,1.203333123,0.683700025
53,1.029864687,0.777447402,1.206169242,0.681500018
54,1.168765668,0.752229214,1.176698057,0.688399971
55,1.17466509,0.753047585,1.218875553,0.690500021
56,1.140630418,0.756187975,1.291592752,0.663399994
57,1.110922576,0.763610482,1.22529188,0.676500022
58,1.15453869,0.762321353,1.185390492,0.68779999
59,1.100860272,0.770418584,1.256164417,0.672699988
60,1.152355254,0.759350538,1.266807959,0.675999999
61,1.153518352,0.761206746,1.288537067,0.67049998
62,1.145083883,0.760605156,1.185556136,0.690100014
63,1.226567375,0.748695254,1.229335099,0.681100011
64,1.134564856,0.766541541,1.229853318,0.685400009
65,1.183396895,0.752289772,1.246205946,0.684700012
66,1.025609301,0.786752939,1.318317704,0.662899971
67,1.148052599,0.767313778,1.233653848,0.68599999
68,1.034588392,0.786330521,1.198432703,0.689800024
69,1.174624651,0.759113073,1.184995016,0.694999993
70,1.149058342,0.766928732,1.194016064,0.688399971
71,1.011507216,0.790307164,1.202272879,0.684700012
72,1.073072494,0.775767446,1.24650797,0.67750001
73,1.052165539,0.780050099,1.223435395,0.685899973
74,1.12425299,0.766335964,1.200837676,0.688000023
75,1.181578268,0.760863185,1.136320841,0.704599977
76,1.115202048,0.770639062,1.233639559,0.689100027
77,1.177619674,0.760540366,1.22762011,0.681299984
78,1.156600212,0.767014146,1.175125614,0.69630003
79,1.183398513,0.761088192,1.198881609,0.693300009
80,1.104982751,0.7737028,1.210288106,0.688799977
81,0.964983568,0.824606001,0.922697981,0.758300006
82,0.918456063,0.842059851,0.997477716,0.753899992
83,0.855741431,0.853257179,0.958168708,0.762300014
84,0.795336318,0.86716032,0.898544086,0.769500017
85,0.788536912,0.870789528,0.926091491,0.767199993
86,0.868350546,0.85545063,0.991515184,0.762199998
87,0.845325929,0.862258434,0.952314513,0.765299976
88,0.864945463,0.852434993,0.997893683,0.760999978
89,0.93426017,0.83957696,0.986537744,0.765699983
90,0.76811005,0.87289077,0.951763822,0.76789999
91,0.782396462,0.869432628,0.968025784,0.764900029
92,0.800295501,0.868007839,0.917519664,0.765600026
93,0.74196231,0.877555549,0.882204221,0.773400009
94,0.792616772,0.869112372,0.936066199,0.769699991
95,0.661608073,0.894992292,0.933776656,0.770500004
96,0.764243519,0.871732175,0.966701809,0.767099977
97,0.830084167,0.861282289,0.925174338,0.770699978
98,0.838153939,0.861796796,0.981826601,0.761099994
99,0.803114438,0.867911398,1.016915974,0.753600001
100,0.812375868,0.861126304,0.987443008,0.756699979
101,0.718056235,0.880937994,0.957630741,0.763999999
102,0.83569889,0.859240651,0.984614797,0.762899995
103,0.764738425,0.874138057,0.990932754,0.7579
104,0.794732822,0.864655256,0.983500867,0.754599988
105,0.879404609,0.847757816,1.034233895,0.752600014
106,0.753171669,0.873779714,0.969091531,0.753899992
107,0.767774641,0.870136321,0.997458404,0.754100025
108,0.766802514,0.873967052,1.005872463,0.753099978
109,0.739702961,0.876013517,0.981217417,0.751999974
110,0.807565042,0.861461341,1.019474666,0.74849999
111,0.76342808,0.874855101,1.039222623,0.749599993
112,0.961982369,0.830462515,1.076003752,0.743600011
113,0.804887517,0.863948822,1.079075663,0.747699976
114,0.743770593,0.874639213,1.023398901,0.750800014
115,0.733738563,0.875392318,1.023192641,0.741699994
116,0.829147982,0.856686413,1.061522093,0.746200025
117,0.806386614,0.85774529,1.005146623,0.750999987
118,0.840772875,0.856586039,1.033285502,0.744000018
119,0.83074256,0.857283771,1.006883215,0.750400007
120,0.869014845,0.854409873,1.074373559,0.740499973
121,0.76270828,0.874806583,0.909321945,0.773899972
122,0.751231731,0.874805093,0.887696542,0.776000023
123,0.76441084,0.871077955,0.924458206,0.778800011
124,0.744327662,0.874212086,0.88450774,0.777999997
125,0.7870561,0.864878774,0.923612418,0.775900006
126,0.716374564,0.882515848,0.91644392,0.782500029
127,0.757322399,0.869971931,0.975539149,0.772000015
128,0.715872322,0.879345059,0.865357505,0.782299995
129,0.812488224,0.863109589,0.891225288,0.783800006
130,0.821349348,0.85976851,0.942054046,0.778599977
131,0.754559772,0.874581814,0.940966996,0.779900014
132,0.753095764,0.874113023,0.875339005,0.780900002
133,0.727388901,0.87624073,0.949113673,0.776199996
134,0.760737277,0.87297368,0.876260785,0.783100009
135,0.689995756,0.884205937,0.871973775,0.783299983
136,0.748575106,0.877370417,0.910924633,0.784099996
137,0.746006889,0.87478447,0.861789086,0.788600028
138,0.711201466,0.876819193,0.8694325,0.782100022
139,0.734437841,0.874214947,0.900905807,0.780600011
140,0.770267667,0.87118721,0.916961355,0.778599977
141,0.807636904,0.860013902,0.928467121,0.779900014
142,0.750656698,0.875783503,0.870455814,0.78490001
143,0.682479146,0.886206567,0.870109967,0.782299995
144,0.766247649,0.87027365,0.990277549,0.77700001
145,0.745537576,0.874502897,0.896429417,0.781599998
146,0.75885515,0.873664379,0.874280832,0.783299983
147,0.730952548,0.876070917,0.930003232,0.781499982
148,0.711248662,0.882405877,0.903560716,0.779500008
149,0.720591584,0.882535994,0.927864884,0.783699989
150,0.732538628,0.876987278,0.881499912,0.784300029
151,0.766927022,0.873704672,0.923435451,0.778299987
152,0.691502631,0.886935771,0.888913566,0.781099975
153,0.780797705,0.866673768,0.919176958,0.778500021
154,0.688240429,0.884216905,0.942727376,0.780099988
155,0.830774203,0.857505381,0.94855505,0.778900027
156,0.693070114,0.88336134,0.888403042,0.782700002
157,0.781233089,0.866921723,0.910573741,0.780399978
158,0.728100635,0.882260442,0.883900601,0.78549999
159,0.719445649,0.876752913,0.923601909,0.783800006
160,0.759510303,0.871496558,0.924064639,0.778999984
161,0.74058058,0.873328507,0.881190532,0.786199987
162,0.730810319,0.878013074,0.862037598,0.787199974
